10136	29792	4222	1
10136	29792	4223	1
10136	29792	4224	1
10136	29792	4225	1
10204	29898	4224	1
10205	29898	4225	1
10281	29863	1761	1
10281	29863	1766	1
10281	29863	1769	1
10282	29863	1760	1
10284	29433	59272	1
10284	29439	53933	1
10284	29475	12045	1
10284	29566	15045	1
10284	29586	15237	1
10284	29647	21409	1
10284	29677	27582	1
10284	29708	64275	1
10284	29735	6777	1
10284	29781	16117	1
10284	29803	42723	1
10284	29848	33959	1
10284	29940	30057	1
10289	29631	2043	1
10298	29792	4471	1
10298	29792	4472	1
10371	29863	1720	1
10371	29863	1721	1
10371	29863	1722	1
10371	29863	1723	1
10371	29863	1724	1
10371	29863	1725	1
10371	29863	1726	1
10371	29863	1727	1
10371	29863	1728	1
10371	29863	1729	1
10371	29863	1730	1
10371	29863	1731	1
10371	29863	1732	1
10371	29863	1733	1
10371	29863	1734	1
10371	29863	1735	1
10371	29863	1736	1
10371	29863	1737	1
10371	29863	1738	1
10371	29863	1739	1
10371	29863	1740	1
10371	29863	1741	1
10371	29863	1742	1
10371	29863	1743	1
10371	29863	1745	1
10371	29863	1746	1
10486	29833	2649	1
1053	29631	2051	1
1053	29631	2052	1
1053	29631	2053	1
10580	29842	3665	1
10580	29842	3698	1
10580	29842	3718	1
10580	29842	3729	1
10580	29842	3740	1
10580	29842	3775	1
10580	29842	3776	1
10580	29842	3781	1
10580	29842	3806	1
10580	29842	3815	1
10580	29842	3826	1
10580	29842	3866	1
10580	29842	3890	1
10580	29842	3899	1
10580	29842	3913	1
10580	29842	3919	1
10580	29842	3930	1
10580	29842	3941	1
10580	29842	3950	1
10580	29842	3958	1
10580	29842	3964	1
10580	29842	3971	1
10580	29842	3973	1
10580	29842	3994	1
10580	29842	4005	1
10580	29842	4014	1
10580	29842	4017	1
10580	29842	4065	1
10580	29842	4068	1
10581	29842	3658	1
10581	29842	3687	1
10581	29842	3699	1
10581	29842	3703	1
10581	29842	3749	1
10581	29842	3750	1
10581	29842	3777	1
10581	29842	3779	1
10581	29842	3799	1
10581	29842	3804	1
10581	29842	3831	1
10581	29842	3845	1
10581	29842	3846	1
10581	29842	3871	1
10581	29842	3884	1
10581	29842	3908	1
10581	29842	3911	1
10581	29842	3918	1
10581	29842	3924	1
10581	29842	3947	1
10581	29842	3948	1
10581	29842	3960	1
10581	29842	3990	1
10581	29842	3992	1
10581	29842	3999	1
10581	29842	4023	1
10581	29842	4061	1
10581	29842	4063	1
10581	29842	4064	1
10582	29842	3667	1
10582	29842	3689	1
10582	29842	3692	1
10582	29842	3753	1
10582	29842	3757	1
10582	29842	3787	1
10582	29842	3855	1
10582	29842	3856	1
10582	29842	3860	1
10582	29842	3869	1
10582	29842	3892	1
10582	29842	3902	1
10582	29842	3921	1
10582	29842	3926	1
10582	29842	3928	1
